time,lat,long,mag,nst,net,id
8100,35.3228333,-117.8068333,1.68,44,ci,ci40994743
8090,35.3581667,-117.8008333,1.71,40,ci,ci40994735
8080,38.837333679199,-122.79066467285,1.06,18,nc,nc75195896
8070,-55.8893,-26.5991,5.3,61,us,us6000qkdl
8060,35.771,-117.6113333,1.13,23,ci,ci40994727
8050,63.2742,-150.6222,1.6,,ak,ak0257mkq3c3
8040,59.8078,-152.3709,1.6,,ak,ak0257mkklj1
8030,33.4238333,-116.3915,1.07,61,ci,ci40994719
8020,34.2365,-117.4496667,1.15,37,ci,ci40994711
8010,61.6565,-150.0422,1.3,,ak,ak0257mkf5sf
8000,62.8252,-143.0085,1.4,,ak,ak0257mker67
7990,38.822498321533,-122.76667022705,0.95,14,nc,nc75195871
7980,81.2304,118.5374,4.9,89,us,us6000qkdd
7970,36.581165313721,-121.13933563232,1.32,12,nc,nc75195866
7960,63.087,-150.4164,1.5,,ak,ak0257mk2c7t
7950,47.722833333333,-122.60916666667,1.81,53,uw,uw62128661
7940,59.923,-152.5807,1.5,,ak,ak0257mjwk9y
7930,35.3206667,-118.5721667,1.8,44,ci,ci40994687
7920,38.821834564209,-122.80449676514,1.08,26,nc,nc75195841
7910,35.8673333,-117.6686667,1.09,23,ci,ci40994663
7900,30.947,-103.997,2.8,8,tx,tx2025lqwkhk
7890,31.954,-103.377,2.7,24,tx,tx2025lqwjsl
7880,37.2032,-114.552,1.6,11,nn,nn00898939
7870,65.7211,-145.7074,1.3,,ak,ak0257l9e7hu
7860,31.686,-104.364,1.5,26,tx,tx2025lqusgo
7850,38.813835144043,-122.80666351318,1.06,10,nc,nc75195826
7840,38.796333312988,-122.77866363525,1.14,23,nc,nc75195816
7830,34.2968333,-118.4886667,1.32,37,ci,ci40994543
7820,33.9816667,-117.1686667,1.05,28,ci,ci40994527
7810,32.194,-101.407,1.5,44,tx,tx2025lqsikx
7800,36.108165740967,-121.57050323486,1.46,11,nc,nc75195796
7790,39.3618,-119.7886,1.4,12,nn,nn00898937
7780,17.987,-66.8265,2.25,6,pr,pr71485783
7770,38.384,40.2959,4.2,42,us,us6000qkck
7760,62.945,-149.3214,1.5,,ak,ak0257l7vzeo
